item_id,movie_id,title,release_year,contract_year,runtime,mpa_rating,imdb_score,votes,reviews_users,reviews_critics,budget,income_usa,income_ww,country_1,studio,director,Genre_1,Genre_2,Genre_3,actor_1,actor_2,actor_3,contract_price,studio_score,price_class,price,total_price,total_dollar,interest
I-1049,tt1392190,Mad Max: Fury Road,2015,2016,120,R,8.1,805017,1886,812,150000000,154058340,375209362,Aus,WB,George Miller,Action,Adventure,Sci-Fi,Tom Hardy,Charlize Theron,Nicholas Hoult,2700,10,10,4500.0,6714000.0,5910.0,3210.0
I-1053,tt0369610,Jurassic World,2015,2016,124,PG-13,7.0,550189,1489,688,150000000,652270625,1670400637,USA,Universal,Colin Trevorrow,Action,Adventure,Sci-Fi,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,2295,10,1,4500.0,6237000.0,5490.0,3195.0
I-1015,tt1049413,Up,2009,2015,96,PG,8.2,869605,810,421,175000000,293004164,735099082,USA,BUENA VISTA,Pete Docter,Animation,Adventure,Comedy,Edward Asner,Christopher Plummer,Jordan Nagai,2700,10,10,7200.0,6595200.0,5806.0,3106.0
I-1016,tt1119646,The Hangover,2009,2015,100,R,7.7,682336,683,345,35000000,277322503,467517116,USA,WB,Todd Phillips,Comedy,ETC,ETC,Bradley Cooper,Ed Helms,Zach Galifianakis,2700,10,10,4500.0,6502500.0,5724.0,3024.0
I-1046,tt2279373,The SpongeBob Movie: Sponge Out of Water,2015,2016,92,PG,6.0,45035,161,151,74000000,162994032,325186032,USA,Paramount,Paul Tibbitt,Animation,Adventure,Comedy,Antonio Banderas,Eric Bauza,Tim Conway,2295,10,1,5000.0,6025000.0,5304.0,3009.0
I-1067,tt1663202,The Revenant,2015,2016,156,R,8.0,643256,1498,629,135000000,183637894,532950503,USA,Fox,Alejandro G. I,Action,Adventure,Biography,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,2600,6,10,4500.0,6363000.0,5601.0,3001.0
I-1020,tt1259571,The Twilight Saga: New Moon,2009,2015,130,PG-13,4.7,252668,938,297,50000000,297816253,711020081,USA,Sum.,Chris Weitz,Adventure,Drama,Fantasy,Kristen Stewart,Christina Jastrzembska,Robert Pattinson,2145,4,1,4000.0,5724000.0,5039.0,2894.0
I-1019,tt0878804,The Blind Side,2009,2015,129,PG-13,7.6,273105,480,271,29000000,255959475,309208309,USA,WB,John Lee Hancock,Biography,Drama,Sport,Sandra Bullock,Tim McGraw,Quinton Aaron,2600,6,10,4500.0,6210000.0,5467.0,2867.0
I-1013,tt0468569,The Dark Knight,2008,2015,152,PG-13,9.0,2134569,6344,418,185000000,535234033,1004934033,USA,WB,Christopher Nolan,Action,Crime,Drama,Christian Bale,Heath Ledger,Aaron Eckhart,2700,10,10,4500.0,6318000.0,5562.0,2862.0
I-1090,tt1396484,It,2017,2018,135,R,7.4,408221,1823,610,35000000,327481748,700449318,USA,WB (NL),Andy Muschietti,Horror,ETC,ETC,Jaeden Martell,Jeremy Ray Taylor,Sophia Lillis,2195,6,1,4500.0,5584500.0,4916.0,2721.0
