imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt12057580,Amityville Island,Amityville Island,2020,2020-03-17,"Action, Horror, Sci-Fi",70,USA,English,"Mark Polonia, Paul Alan Steele",John Oak Dalton,Polonia Brothers Entertainment,"Danielle Donahue, Jamie Morgan, Jeff Kirkendall, James Carolus, Titus Himmelberger, Steve Diasparra, Tim Hatch, Marie DeLorenzo, Yolie Canales, Wyatt Wood, Cassandra Hayes",A cursed survivor of killings at the Amityville House brings evil to a small island where bizarre genetic experiments are carried out on humans and animals in a secret women's prison.,1.7,142,"$30,000 ",,,,6,5
tt9357288,Doll House,Doll House,2020,2020-03-23,Horror,85,UK,English,Steven M. Smith,"Christopher Jolley, Steven M. Smith",ChampDog Films,"Mark Wingett, Toyah Willcox, Jon-Paul Gates, Louisa Warren, J. Taviner, Steven M. Smith, Paul Danan, Kate Lush, Jennifer Leahey, Luke Stevenson, Saskia Sheridan, Lxa Lynch, Sarah Dorsett, Amelia Anderson, Connor Starling","A 11 years old girl arrives at a foster home, bringing her doll and dollhouse. Soon after, strange things begin to happen and everyone is in danger.",2.4,185,"$30,000 ",,,,18,5
tt9485592,Girl Blood Sport,Girl Blood Sport,2019,2019-02-25,"Action, Fantasy, Horror",354,USA,,Russell Brown,Russell Brown,"GirlFightMovie.com, LLC","Miss Mercedes 9, Abby, Stephanie Adduci, Adelina, Delila Alas, Bianca Alexandrea, Chelsea Alexandria, Euriah Alexandria, Ali, Dezie Alvarez, Lauren Alysse, Amore, Lady Ana-Eve, Ann, Ashley Ann","Chaos follows a deadly duo of maniac assassins after they host a brutal, no-holds-barred tournament inside a sinister steel cage surrounded by razor-sharp barb-wire after luring hungry, ...",7,117,"$30,000 ",,,,1,
tt11742070,Walk Away,Walk Away,2020,2020-02-01,"Sci-Fi, Thriller",91,USA,English,"Jason Dean, Matthew Nash","Jason Dean, Matthew Nash",454 Productions,"Alyssa Talbot, Faith Kelly, Ben Bocko, Amy Zubieta, Chris J. Faria","Five friends go on a vacation to a cabin in the woods, but find that leaving isn't as simple as just walking away.",3.9,140,"$45,000 ",,,,16,1
tt7847062,She Walks the Woods,She Walks the Woods,2019,2019-10-29,Horror,81,USA,English,"John Crockett, Brian McCulley","Danny Bohnen, Scotty Bohnen",AEC,"Vivienne Edridge, Danny Bohnen, Jessie Nerud, Taylor C Morgan, Scotty Bohnen, Jason Potter, Brandon Shaffer, Jeremy Cumrine","Over 1600 people have vanished in our National Forests. Now, a team of adventurers is about to find out why.",4.5,207,"$45,000 ",,,,32,2
tt10086834,The Exigency,The Exigency,2019,2019-12-14,Sci-Fi,112,USA,English,Cody Vibbart,Cody Vibbart,Cuz Productions,"Tom Haney, Alexis Danner, Warren Halderman, Kayla Vibbart, Dillon Vibbart, H. Keith Todd, Matthew Kendrick, Alix Spurlock, Joel Danner, Joshua Guthrie, Lucas Danner, Si Hawk, Andrew Racho, Andrew Susay, Cody Vibbart","With a clueless King and failing military, the planet of Gallesha is on the brink of domination by a tyrant, Diederick, of the planet Anumbis. Gallesha's last hope for survival is to retrieve their retired legendary war hero.",6.5,107,"$50,000 ",,,,8,4
tt1776097,The Haunting of Borley Rectory,The Haunting of Borley Rectory,2019,2019-02-25,Horror,92,UK,English,Steven M. Smith,"Mark Behar, Christopher Jolley",Greenway Entertainment,"Zach Clifford, Rad Brown, Sonera Angel, Garry Roost, Kit Pascoe, Georgi Taylor Wills, Matt Rogers, Jon-Paul Gates, Mark Behar, Jimmy 'The Bee' Bennett, Anastasia Cane, Zane Casablanca, Paul Durso, Hans Hernke, Guy Robbins","The story of Borley Rectory, said to be the most haunted building in the world before it was mysteriously destroyed by fire just before WWII.",3.2,390,"$50,000 ",,,,37,7
tt3512606,Devil Within,Devil Within,2019,2019-12-29,Thriller,83,USA,English,Steve Rahaman,Erik Wegner,Rahaman Studios,"Seth Hendricks, Lauren Alexandria Kittrell, Erik Wegner, Lily Spellman, Stephen W. Tenner, Edna Winston, Daniel Girace, Frank Merlino, Susan Meyer, Kim Parshley, Steve Rahaman, Philip Reichert, Debra Toscano, Chris Victor","David Hayes, dealing with a tragic loss, moves with his wife Lucy to help them be a family once again and let go of the past. They soon find that the pain of the past cannot be so easily ...",4.9,220,"$50,000 ",,,,6,
tt7446692,Doll Cemetery,Doll Cemetery,2019,2019-08-23,"Drama, Horror, Thriller",80,UK,English,Steven M. Smith,"Christopher Jolley, Steven M. Smith",Greenway Entertainment,"Jon-Paul Gates, J. Taviner, Steven M. Smith, Can Somer, Zane Casablanca, Jennifer Leahey, Jimmy 'The Bee' Bennett, Earl Ling, Sean Botha, Anastasia Cane, Kit Pascoe, Rad Brown, Theo Mruck, Sharon Elizabeth Greenwood, Paul Durso","Brendan Cobbs, a famous novelist, is sent to a remote cottage in rural England to find inspiration for his next novel. He believes he found his next subject when he encounters Alfred, a ...",5.1,355,"$50,000 ",,,,18,7
tt7825558,Home with a View of the Monster,Home with a View of the Monster,2019,2019-06-07,"Drama, Horror, Mystery",97,USA,English,"Alex Greenlee, Todd Greenlee","Adam Greenlee, Alex Greenlee",Homefront Pictures,"Danielle Evon Ploeger, Ellen Humphreys, Sébastien Charmant, Easton McCollom, Westin McCollom, Kelly McCollom, Adrienne Coleman, Jeremy Parr, Michelle Vilarose, Alex Greenlee, Jasper Hammer, Laurie Cummings, Michael Fox, Adam Greenlee, Dani Fox",Dennis and Rita arrive home to a series of mysterious events.,3.7,207,"$50,000 ",,,,15,7
